0.8	0.155
2.1	0.276
1.2	0.404
0.7	0.132
3.1	0.23
4.6	0.856
0.8	0.212
1.2	0.255
3.3	0.626
6	0.209
4.9	0.244
7.7	0.436
7.7	0.294
3.3	0.843
5.3	0.186
8.2	0.256
8.2	0.108
3.4	0.844
3.4	1.135
7.8	0.221
1.1	0.153
11.1	0.256
1.2	0.308
6.7	0.629
6.5	0.444
7.3	0.503
7.2	0.578
7.6	0.807
7.5	0.581
0.1	1.309
8.4	0.303
10.1	0.251
10.9	0.381
15.4	0.103
0.6	0.229
0.8	0.169
2.1	0.554
2	0.289
6.5	0.102
4.2	0.328
9	0.198
4.1	0.369
17.2	0.089
13.1	0.116
16.9	0.105
10.2	0.349
23.8	0.079
43.2	0.038
30.5	0.027
62.8	0.014
64.7	0.021
68.6	0.01
74.8	0.014
61.6	0.039
61.5	0.06
90.2	0.01
76.4	0.034
85	0.022
90.3	0.019
118	0.008
126	0.014
126	0.015
128	0.012
129	0.011
129	0.017
130	0.011
147	0.011
168	0.007
171	0.01
176	0.005
