4.4	0.403
4.5	0.375
4.4	0.611
9.7	0.11
11.6	0.198
6.4	0.342
12.1	0.469
3.3	0.427
13.6	0.051
13.6	0.329
14.8	0.038
11.6	0.144
15.8	0.093
16.8	0.369
18.1	0.094
19.3	0.085
19.4	0.149
19.9	0.436
20.1	0.995
20.6	0.14
20.6	0.024
19.9	0.041
19.1	0.087
23	0.037
23.6	0.041
23.7	0.042
24.4	0.074
24.5	0.017
18	0.153
24.9	0.042
25.6	0.043
25.5	0.036
25.6	0.063
25.7	0.063
25.9	0.031
26.1	0.042
25.2	0.088
26.5	0.039
26.9	0.203
27	0.029
26.9	0.028
27	0.041
27.1	0.065
21.9	0.072
27.2	0.06
28.1	0.015
27.7	0.054
29	0.017
29.2	0.029
30.6	0.023
30.5	0.075
28.9	0.071
30.8	0.024
31.3	0.011
31.5	0.03
31.5	0.014
26.6	0.057
31.8	0.016
31.9	0.014
31.8	0.043
32.3	0.013
32.7	0.019
33	0.03
33.5	0.023
30.5	0.056
33.8	0.036
33.9	0.027
34.2	0.009
34.2	0.036
25	0.104
34.9	0.012
33.7	0.024
35.1	0.011
35.3	0.067
35.3	0.021
35.4	0.066
35.6	0.011
35.6	0.02
28.1	0.152
30.2	0.027
26.9	0.029
36.1	0.012
36.1	0.025
36.3	0.022
36.3	0.011
36.3	0.026
36.6	0.028
36.5	0.019
37.5	0.018
37.7	0.036
33.6	0.056
38.5	0.015
38.5	0.014
38.6	0.043
38.6	0.013
38.8	0.028
38.8	0.011
38.7	0.011
38.8	0.01
38.8	0.019
39.5	0.019
39.5	0.016
39.6	0.021
39.6	0.046
37.3	0.025
32.6	0.036
39.8	0.026
34.6	0.044
40.6	0.075
40.6	0.01
40.9	0.013
41	0.019
41.1	0.007
41.3	0.012
41.4	0.015
41.4	0.014
41.5	0.012
41.6	0.021
41.6	0.036
35.1	0.037
42	0.019
42	0.014
35.8	0.048
36.2	0.04
42.6	0.012
42.8	0.023
42.8	0.028
43.4	0.013
43.7	0.008
37.2	0.058
44.2	0.017
44.3	0.013
44.9	0.015
45.1	0.031
45.1	0.014
45.2	0.031
45.4	0.015
41.9	0.053
45.4	0.024
45.7	0.016
45.8	0.014
38.9	0.036
38.8	0.03
46	0.005
46	0.019
46.1	0.016
46.2	0.016
46.2	0.016
46.8	0.012
46.8	0.056
40.5	0.015
46.9	0.049
40.2	0.026
46.9	0.016
47	0.016
47.1	0.023
47.2	0.023
47.2	0.031
47.4	0.022
47.5	0.008
47.5	0.009
47.7	0.024
47.7	0.011
47.7	0.027
48	0.024
47.9	0.014
48	0.013
48.1	0.011
48.2	0.012
48.2	0.013
48.2	0.044
48.1	0.01
48.3	0.01
48.2	0.01
48.6	0.022
48.6	0.012
48.7	0.005
48.9	0.01
49	0.022
49.2	0.037
49.2	0.008
49.3	0.012
44.4	0.029
49.3	0.016
49.3	0.014
49.4	0.009
49.3	0.009
49.4	0.016
49.7	0.019
49.6	0.013
42.8	0.035
49.8	0.017
49.9	0.013
49.9	0.006
50.2	0.015
50.2	0.017
50.2	0.008
50.3	0.011
50.4	0.011
50.4	0.011
50.5	0.011
50.7	0.018
51.1	0.013
47.5	0.016
51.1	0.016
51.5	0.014
51.7	0.013
51.7	0.018
52.1	0.024
52.1	0.01
52.2	0.012
52.3	0.013
53	0.02
53.3	0.027
53.3	0.045
54.1	0.009
54.2	0.011
46.9	0.023
54.2	0.016
54.3	0.01
54.7	0.012
54.8	0.014
45.7	0.026
55.3	0.02
55.7	0.019
53.4	0.027
56.5	0.017
56.7	0.023
56.9	0.018
57.2	0.009
52.3	0.012
58.7	0.009
58.8	0.019
59.2	0.018
59.6	0.009
60.1	0.014
60.2	0.01
60.4	0.007
60.7	0.011
60.9	0.012
61	0.01
61.2	0.008
61.4	0.014
61.5	0.006
61.6	0.024
61.7	0.009
61.8	0.01
61.8	0.008
62.2	0.011
62.3	0.017
62.3	0.005
63.2	0.009
63.3	0.029
63.7	0.009
63.9	0.011
64.2	0.006
65	0.012
65.4	0.007
63	0.02
58.1	0.042
65.7	0.012
66	0.022
66.3	0.007
66.5	0.027
66.8	0.008
66.8	0.062
66.9	0.009
57.9	0.025
67	0.014
67.6	0.018
68.2	0.009
68.4	0.008
68.5	0.01
68.8	0.01
68.9	0.013
69.1	0.022
69.9	0.009
69.9	0.022
69.9	0.029
70	0.03
60.7	0.159
60.9	0.174
70.8	0.039
70.8	0.01
